case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou,cluster_id
Fluo-C3DH-A549__01__t015,0.962125707743111,0.9621767226339516,0.9270156462310476,0.9271103699619414,5.101489084058386e-05,9.47237308938087e-05,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t019,0.9621619403291337,0.9621232839249576,0.927082921428289,0.9270111459513584,-3.865640417610727e-05,-7.177547693060227e-05,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t022,0.9678166567227038,0.9677690936899266,0.9376402584155049,0.9375509760208798,-4.756303277719809e-05,-8.928239462513421e-05,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t025,0.9557185364109276,0.9559728067335708,0.9151924741881712,0.9156589147286822,0.0002542703226431353,0.00046644054051103723,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t026,0.9585403120268039,0.9585838526330206,0.9203815789473684,0.9204618682518182,4.354060621669653e-05,8.028930444980986e-05,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t027,0.9579016429293896,0.9580820327174618,0.9192046378636447,0.9195369144235686,0.0001803897880722216,0.00033227655992384975,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t028,0.955719430157058,0.9559274909501329,0.9151941133030911,0.9155757695603454,0.00020806079307489345,0.00038165625725428143,Fluo-C3DH-A549__01
Fluo-C3DH-A549__01__t029,0.9578107495149876,0.9580400002731326,0.9190372564956346,0.9194594807135275,0.0002292507581450609,0.0004222242178928415,Fluo-C3DH-A549__01
Fluo-C3DH-A549__02__t001,0.9347395305825884,0.9349622709306504,0.8774750940432392,0.8778677462887989,0.0002227403480620227,0.00039265224555973255,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t006,0.9305556708303938,0.9302067089153588,0.8701300717101791,0.8695200434209506,-0.0003489619150349732,-0.0006100282892285147,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t008,0.951641352669343,0.9516181784822547,0.907744076983982,0.9077019068344722,-2.3174187088303988e-05,-4.217014950980147e-05,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t009,0.937549320644743,0.937726992259808,0.8824403229839244,0.8827551725659162,0.00017767161506510032,0.000314849581991794,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t011,0.9376930998970134,0.9375565610859729,0.8826951042171595,0.8824531516183987,-0.0001365388110405874,-0.00024195259876080843,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t012,0.9513451820730608,0.9510535757094792,0.9072052746143412,0.9066750728977855,-0.0002916063635816091,-0.0005302017165557116,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t013,0.9499858293183069,0.9498129338144004,0.9047361986567805,0.9044226161194598,-0.00017289550390653385,-0.00031358253732061137,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t014,0.9600910854347643,0.9598509375421557,0.9232453650386855,0.9228013293345222,-0.00024014789260862202,-0.0004440357041632925,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t015,0.9586049435822772,0.9585583499425225,0.9205007625826132,0.9204148402261609,-4.659363975467734e-05,-8.592235645221713e-05,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t019,0.9503502738504649,0.9503242674272521,0.9053975342199786,0.9053503267128162,-2.6006423212820984e-05,-4.720750716236122e-05,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t020,0.946481911005743,0.9463353697143932,0.898401195853508,0.8981371705130495,-0.00014654129134972216,-0.0002640253404584403,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t021,0.9550069081516189,0.9548835413717668,0.9138882501724535,0.9136623325453113,-0.00012336677985214095,-0.00022591762714219144,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t023,0.9566955363091273,0.9568119584848813,0.9169859514687101,0.9171998914934019,0.00011642217575402736,0.0002139400246917722,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t024,0.9560058134564419,0.9559264671948312,0.9157194798388417,0.9155738912627082,-7.934626161065772e-05,-0.00014558857613355958,Fluo-C3DH-A549__02
Fluo-C3DH-A549__02__t025,0.9617586288656302,0.9618135798393309,0.9263343338118231,0.926436294254823,5.49509737006737e-05,0.00010196044299992657,Fluo-C3DH-A549__02
